gene	gf4.bam
ENSMUSG00000006056	0
ENSMUSG00000006057	500
ENSMUSG00000006058	729
ENSMUSG00000006095	1245
ENSMUSG00000006127	875
ENSMUSG00000006134	757
ENSMUSG00000006143	1
ENSMUSG00000006154	10
ENSMUSG00000006169	1202
ENSMUSG00000006179	29
ENSMUSG00000006191	212
ENSMUSG00000006200	0
ENSMUSG00000006204	0
ENSMUSG00000006205	3334
ENSMUSG00000006215	766
ENSMUSG00000006216	0
ENSMUSG00000006218	51
ENSMUSG00000006219	17
ENSMUSG00000006221	20
ENSMUSG00000006235	125
ENSMUSG00000006241	130
ENSMUSG00000006262	565
ENSMUSG00000006269	1
ENSMUSG00000006270	3
ENSMUSG00000006273	14192
ENSMUSG00000006276	1247
ENSMUSG00000006281	127
ENSMUSG00000006288	473
ENSMUSG00000006289	198
ENSMUSG00000006299	2998
ENSMUSG00000006301	524
ENSMUSG00000006304	5222
